"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19387.3187582716","19477.7725011501","19254.5809385738","20062.6364197497","21045.6826927307","21872.0821641959","21887.6974836513","22975.294665984","23723.8455547122","24868.9917242753","26132.6728227063","26275.6310115508","26806.4175590011","27089.7541589905","27496.2612824876","27526.5558435113","27957.2030726518","28638.4431046687","28561.1916189271","29396.6719188593","29921.6676954456","30433.6217543393","30926.4554909011","29864.0346130283","30880.5249132912","32060.123834024","32817.8914273353","33132.2962715614","34446.3107322237","35178.0752218558","35896.8001527147","35304.8161534604","35033.3993460957","36093.5762995543","37134.4127461237","38093.4590737583","39054.4732355152","40151.8270685825","41554.1149362241","43143.582764184","44313.3182274174","44564.9765593132","45786.6428104711","46575.4153320454","47880.6116576619","48760.3551692531","49408.0527406883","50955.05594824","51770.9071530236","51689.9135558502","51936.8887116461","52475.6632455215","53553.2339429699","54008.7081938685","54546.2030621219","55017.2480239931","55731.4955736202","55925.9318168028",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13031.0315898249","13677.4642130876","13953.9500033393","14438.3566555943","15220.8197176825","15648.5266978249","16416.0054041203","16783.8896871799","17443.704979075","18474.5400142328","19573.8668769247","20483.4532861498","21628.966124242","22561.3704985125","23410.8902742626","23387.7063787301","24501.7493304065","25736.5512059217","25703.1373788812","27126.1781793457","27595.8347588735","27485.8321468879","28018.5408766777","28898.2188508896","28914.8565907991","29623.4341327814","30285.9331896605","30677.5439948851","31643.8089603984","32726.0594259348","33888.9955929164","34707.0712269201","35045.8442923391","34941.143401042","35643.0276843652","36537.9930388237","37346.0074348842","38084.7013777733","39405.4160313155","40727.4849425251","42001.2111626726","42370.9315990366","42859.3293954947","43052.6030729033","43956.5826590614","44637.8564124514","45951.7346927938","47510.2937863859","48053.4830761375","46123.4906889046","46858.0432733717","48065.3167058917","48172.2377048248","47901.3654287376","47922.3398475649","47905.5431541607","48077.8783610298","49129.2336646382",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3118.54658676172","3049.01599483444","2324.4529766324","1760.55465085842","1394.74420894615","1216.07791710291","1219.50934895182","1277.85412406008","1392.36119355104","1482.32977280697","1633.3944354131","1781.24639507096","1955.41315045621","2158.00717069154","2357.39602637373","2949.44281843844","3923.65815354896","4851.17690871859","5262.10135550006","5639.001689405","5842.80578358576","5770.96970270605","5820.0798474712","6078.32064851423","6122.98048925179","6117.03086236702","5861.51196206606","5805.13453500275",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","214.136954470044","181.217677492176","193.953239849349","198.122221553641","206.289435971814","209.803506248281","214.271136487222","237.75560255054","231.170921449921","222.724813129144","265.229179977529","268.644207587246","248.697790543501","263.272084401766","258.462588473879","256.515815155787","271.842957220528","296.556107016593","286.818182523121","284.361189879462","279.958965460882","306.101523535186","295.174780278171","298.204169945346","290.660218774574","315.872850697748","316.742305242519","324.379639217989","330.866922120253","326.182283933915","329.157780967159","337.708351238027","333.94321893393","307.123481022235","290.319817820472","263.270850380452","239.039632650715","232.506872313885","240.62759815185","234.684850023308","228.247568715153","227.428111030652","230.996154204304","221.22748245559","224.515553169343","219.186550201302","223.40359025878","226.304441502933","229.834701437855","230.053170925045","231.194325649216","233.518126039129","235.705287861241","239.331065435125","243.101911790451","226.528058204677","218.28352838019","212.547422124026",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13193.3149413605","13804.1993476581","14465.9774292722","14983.0426057267","15874.4046901559","16291.0196565313","16692.0169886591","17241.4473706698","17894.0438026985","19026.4296503728","20070.5479732956","20832.5240820801","21850.0028718164","23171.3793566533","24153.0991616343","23609.9371038687","24900.0171083108","25025.0098811635","25712.1941187834","26290.4941793372","27428.6118861353","27352.7295955632","27522.9536289161","27610.9754180225","28292.3925990391","28751.1590966802","29264.7899111196","29914.3154726966","31227.7917487716","32193.9793055008","33105.1552433006","33586.9583104952","33962.9863856718","33505.1655027068","34479.937551965","35228.3419165189","35719.8102344149","36955.6361964793","37605.2280552923","38856.0634985051","40170.4189271218","40357.370757271","40892.2177249607","41036.7982641216","42344.6948333994","42994.3636536563","43782.1395544946","44960.7978629635","44956.3673344759","43591.2718827821","44380.1766327308","44556.0368071799","44337.5767700468","44209.7433543915","44676.6607293383","45052.3653466121","45457.8993419591","46078.9290873069",
"Benin","BEN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","520.404179984985","529.297338642614","503.599084051538","519.130656001452","544.427762856429","563.14643870332","572.453222994978","567.383628665014","577.305494894222","581.61037421383","581.235118982927","560.180110614056","583.056243099537","591.050532244085","596.657708163309","553.93664820434","545.143576619519","557.93222697945","550.42650351024","571.072511282984","593.619562439568","635.117493477248","631.527135880661","587.287625984981","616.037500535204","643.587476348851","638.749042846944","611.028136374675","613.231180279321","577.539883272228","609.345623847634","614.005294113839","610.55090183852","623.953655204789","615.120445612328","631.171223502581","638.076330738046","654.542811574812","660.631781368267","675.677481564767","694.243748862815","709.469362156737","720.168276979008","722.667195343064","732.335422521139","723.19995937719","730.275255572895","752.215214660521","767.031818766209","763.154718039225","757.695907409377","758.5775214493","773.182722624068","805.967160184979","833.640877658714","827.835457935714","837.199037667056","859.952685787737",
"Burkina Faso","BFA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","238.854562360996","245.198582661663","256.777174402718","250.117852037582","252.261831813637","257.91507753529","255.28153124882","273.300218245601","276.974204233536","277.774091102006","273.33151551225","272.410460368818","273.83695464318","270.182895737443","287.264561673976","290.373108648389","309.153850689155","304.242226817525","311.834178785847","316.437746591525","311.891569083801","317.607545255431","339.56329188478","332.260179910774","318.102431922458","336.411586413563","353.888019006108","343.970454997046","354.488976474489","352.677859553805","341.352617189917","362.478919951271","353.668786014067","356.128863354102","351.104458678869","361.121421967347","389.965445880457","403.216943616745","420.723454429533","439.299726397477","434.763330444212","450.452280722016","456.73413491079","478.304352301957","485.307404342803","511.967590461138","527.962349488741","541.268695046728","563.447065061273","562.841935400742","575.446452687734","595.393248086405","615.097084338391","631.612184358054","639.709550663991","645.369860580495","663.961762877322","688.533891370075",
"Bangladesh","BGD","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","370.594171598507","382.004772248412","391.489183817685","378.559952378411","407.633123637666","401.533415961706","398.708156847372","378.448326715215","401.180445699144","394.309596310703","406.030709159679","375.826580987217","317.700603668735","323.039586875878","347.980629217091","327.100950492445","337.60268601685","337.713294109014","351.707710948965","358.34779039864","351.37610417876","366.666307385361","364.53821824281","368.69402600033","376.20766114278","378.487457982543","383.812479658935","387.755874242805","386.775599124052","387.672868830259","399.483940851139","403.753798979427","416.18052405083","426.309441333235","433.412344067767","445.918917287425","456.237710100466","466.77254422232","480.868833099348","493.255219870374","509.293434722413","525.072110746691","535.246723365611","550.862805736311","570.336735954774","598.617425921471","630.04818002342","666.401447207163","698.564892037526","725.766259956842","757.671757176894","797.411680369498","839.513687185166","879.581966135063","922.161127998654","971.641988030431","1029.57797933458","1093.04927364567",
"Bulgaria","BGR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3223.80899433698","3370.52919134631","3439.02825941883","3548.13214904218","3660.06888345894","3758.34002719537","3917.51479507007","4148.59381224382","4597.47543157644","4498.551980057","4162.81570433754","3849.1863013536","3607.79367407921","3582.85611598934","3660.40197671228","3781.90349197296","3828.24642187336","3809.68651346488","3967.99605484799","3750.49383333629","3955.27580157865","4186.92041902769","4532.8538693831","4804.48436237995","5152.41400784508","5561.16384273605","5988.77095056511","6476.05420316886","6914.39843478088","6709.52731467062","6843.26694975885","7019.17404574254","7062.13497737665","7162.99779252759","7299.54877087093","7612.02236422436","7967.70816911052","8311.93089892045",
"Bahrain","BHR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21184.9828376582","19295.58521837","17290.8180745626","17906.0163509295","18304.5726983488","16926.3747444092","16571.426671545","17663.4657118083","18240.5661888089","17702.3755890439","17934.7430502843","19407.4436493518","20178.4651617478","22217.9133183868","21623.0156816472","21910.2398805927","22220.6829070812","22281.7951076819","22634.8884697697","22760.9869862741","22955.0934939164","22416.0818465599","22038.331198939","22058.7633255054","22144.4733857539","22066.0711292424","21796.0151385957","21838.0745654035","21563.650666009","20797.0052179038","20722.1038895508","20514.7563869279","20921.199710437","21799.6521659427","22390.6828514575","22436.2075318381","22291.4042492524","22111.4772372579",
