"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624221103.47913","7218864341.89657","6673391235.87742","7098911806.39139","7454116226.23047","7099429359.04756","7183415176.43469","7930419191.02771","8485547872.1663","8516435872.13312","8894395055.67055","9893235511.91183","10555092806.0632","11913533954.1921","11883749942.4451","12350780310.4502","12858398136.4749","13256108363.4132","13891076323.6746","14488392461.1778","15256276507.3657","15636315475.986","16201435104.2376","17177401647.9676","18376546950.2211","19620444333.8462","20889606053.0421","22621864899.6304","24034629395.827","24645054296.3673","25713271276.5957","26223377131.9619","27202099523.9053","28675502255.2549","29922841390.6393","30779223483.5898","31769062885.3112","33003237140.6953",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1942538097.61501","2149750529.0866","2374441850.10686","2624329421.19867","2899925138.96336","3202259632.40815","3492766343.41697","3828006034.15819","4150391651.56298","4523165825.37743","4267622809.06613","4337036067.07757","4185355346.26048","4502084992.61466","3747795359.80247","3193004478.75685","3358567667.13532","3666042159.83818","4185869346.1863","5280026115.10758","5622978696.80712","5104179904.68398","5446103697.7852","5642002872.57775","6441539485.04816","6752613028.89395","6873957500.38138","7079112091.74079","7242618886.04269","7729853744.61442","7606466024.82856","7288379997.0845","7009556990.78308","7031132893.55112","7252537375.65963","7570107957.44229","7889833789.55325","8052541057.62784","8432337724.51058","9034753608.33579","9409627491.5515","9656694580.55466","9917865835.46098","9792432526.23075","9878884030.66906","10214307272.5531","10471385975.1648","10622859247.2052","10375987506.7603","9942763009.20556","10095760000","10157636655.8148","10471171091.7508","10428194408.9434","10412761872.8443","10521571019.7704","10343803831.7942","10492464084.5963",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758501862.26045","3332270264.77958","6296580077.19916","8461947179.52191","9782010631.81418","10721083632.4236","11310743278.9328","11808415927.4057","12434262003.1151","12931632491.3659","13720462043.7462","14922131712.6024","15724715108.0111","16625545811.607","17553771246.6987","17028972709.4197","17176781336.7644","17340940610.8214","17198443692.016","17602502336.2904","17804865646.3737","18352676372.9938","18929698720.1192","19503531387.5533",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31610993224.6745","31231662693.7653","28233422682.3594","26087682006.1187","23035422168.0158","20639738139.7908","21217651777.4411","23636465240.0702","25621926331.6632","26493071605.9872","28029670685.9076","29354158398.3644","30835154158.4007","33006933477.4592","36786142508.7162","40244040518.2926","44268442421.9721","48075531367.195","52979235376.3842","53085191324.5955","57222490768.7143","60394740109.9615","61440410270.0481","62069551139.8208","63139062692.4886","60721108489.7286","59187019676.14","60620473815.135",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","98735541.365533","103565957.762842","108633079.853357","114017406.9702","119718140.395677","125620892.346014","131614070.54936","138080431.934065","148253128.666849","155823489.055951","163315004.598581","169781365.983286","187130141.821549","197145148.861389","223878001.813926","231921545.384386","231842643.486651","246904519.418383","266461350.316705","286491307.345121","329942063.261618","334200426.637528","333254117.326075","326235727.913539","332623244.451772","336171833.055644","351549202.475791","390978186.607058","427095173.725132","483005526.280944","534342136.074958","590432257.162776","661495254.210911","703014425.491375","704124757.186046","708659134.575871","718783908.247124","744266083.396219","772108754.582053","839902771.269847","949415695.712415","997035187.469506","1048069026.20692","1145817580.70996","1199103461.03176","1230025245.97225","1286391894.53536","1300597659.20359","1342587389.30728","1352161618.28356","1397113450","1426508029.66176","1480733772.50222","1491295844.10994","1551623276.65735","1610507255.18119","1602671549.36449","1616832814.04701",
"Bermuda","BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1236024650.86844","1293870604.52905","1351706620.55154","1366169881.39142","1517951355.21397","1590205839.72223","1818617223.97319","2060039383.27642","2103408633.45069","2175690717.0744","2313026675.95958","2392536967.94565","2435906218.11992","2472047259.93172","2493731885.01891","2587698593.72971","2819001261.32568","2985250053.66029","3028619303.83456","3093673179.09591","3339432263.4166","3418942555.40268","3238237346.34334","3303291221.60469","3319193280.00197","3252693763.06806","3469540013.93931","3599647764.46201","3745657573.382","3762282452.61539","3763005273.45173","3630006239.58401","3627837777.07534","3736983723.34719","3759391169.27049","3924772345.29896","4026835109.98094","4212069525.04015","4376340236.51672","4524376453.24803","4945919646.2653","5303135527.75517","5224766301.37623","5402967729.76868","5528385008.41416","5620941625.4668","5932559093.07918","6101393205.83452","6194616021.02816","5867281536.74729","5744414000","5552579615.57093","5284137923.53055","5151445059.9242","","","","",
"Bolivia","BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","4818838337.92097","4919069386.41404","5193072636.16593","5526504333.00168","5791475875.63924","6117247421.40646","6514703077.07345","6964795309.05929","6117247421.40646","6306638235.98099","6275431642.47645","6593177851.70962","7118488339.85736","7527029870.88225","7748292041.93555","8314771040.57519","8698461748.9123","9130881078.73599","9318310167.16051","9330735578.5044","9202739037.66105","9228103327.03293","8864632532.69628","8506313289.60133","8489243522.35103","8346930939.40081","8132091172.24541","8332423560.8537","8574855634.64984","8899853814.56578","9312431983.67648","9802873772.42119","9964277788.39403","10389682071.8569","10874596631.4455","11383339904.468","11879806409.1738","12468356816.9483","13095434411.9384","13151337456.4676","13481147690.5693","13708143381.9739","14048868175.0683","14429780856.7853","15031978081.3865","15696607186.4403","16449574872.6896","17200396431.0132","18257962323.1053","18870882348.149","19649631308.1648","20672216340.1924","21731104039.6498","23207952413.94","24475238843.5128","25664047181.8707","26758341469.4947","27880909289.0244",
"Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","247341919463.169","272758556343.915","286985804716.435","289495990894.393","299586611924.6","308734452850.771","321548044807.563","337352985482.659","375903263762.145","412500554795.559","448676636771.708","499355052540.896","559541329549.227","637757886667.244","695424722086.423","731649923695.225","803281452171.115","840283150784.244","867438661727.235","926132033479.117","1010511554033.68","966116171914.189","971722018042.344","938588304088.47","988043865417.878","1066552464980.62","1151751823331.46","1193210621348.61","1191985519567.62","1231076194274.74","1192883828728","1210919483539.43","1205265540510.73","1261493214739.07","1328788222502.53","1387477228552.53","1418106281314.95","1466251395671.69","1471212547872.58","1478113514365.66","1538900699686.93","1560181111439.25","1607829299910.86","1626156734970.79","1719895102552.35","1774870932268.27","1845107843393.43","1956927902720.44","2056552321671.5","2053965689829.48","2208871646202.82","2296901313455.03","2341302893954.85","2411783265631.77","2424040195497.99","2337992410593.76","2256907026242.19","2278936372567.31",
"Barbados","BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","2653698663.50013","2603278388.89363","2717822638.00494","2815664252.97312","2953631801.3688","3186968713.67695","3327195337.07873","3263978625.67424","3104043673.0162","3119563891.38128","3231868191.47099","3267418741.57717","3434057097.39762","3523342581.92995","3646659572.2975","3777939316.90021","3653267319.44252","3510789893.98424","3265034601.40536","3304215016.62221","3429775187.25385","3498370690.99894","3638305518.6389","3809305878.01493","3950250195.50149","3966051196.28348","4057270373.79799","3959895884.82684","3991575051.90545","4079389703.04739","4136501158.89004","4301961205.24564","4547172993.94466","4629022107.83565","4633651129.9435","4448305084.74574","4461650000","4492881549.99999","4506360194.64997","4506360194.64997","4506360194.64997","4546917436.40184","4637855785.12986","4715357332.99045",
"Brunei Darussalam","BRN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","7076283755.04218","7101437330.39971","8532760029.33627","9464255592.2259","10105537880.4547","12385592665.9333","11519009534.2868","9235168243.49102","9600571983.86506","9648715584.89183","9706595966.2633","9561894976.16429","9302244591.12579","9489138760.54273","9593269453.61204","9490220608.72755","9593609020.9021","9895418335.16685","10366299816.6483","10397872753.9421","10724927172.7173","11205265273.194","11527788412.1746","11358194866.1533","11294758342.5009","11639492115.8783","11971150348.3682","12299643564.3564","12775897689.769","13146904070.407","13213206307.2974","13264408434.1768","13847739933.9934","13869146021.2688","13600124165.7499","13360145141.1808","13707370737.0737","14220755408.8742","14350568390.1724","14045471213.788","13715438210.4877","13637697103.0436","13301457674.8771","13478200979.2483",
